"CUST_NO","CNT_ORDER","QTY","ORDER_AMT","DC_AMT","FOOD_ORDER","FOOD_QTY","FOOD_AMT","FOOD_DC_AMT","SB_ORDER","SB_QTY","SB_AMT","SB_DC_AMT"
"201904766962",,,,,,,,,,,,
"202011294457",1,1,9810,1090,0,,,,0,,,
"202001868352",1,1,411360,47640,0,,,,0,,,
"201809379655",1,1,10900,0,1,1,10900,0,0,,,
"201811713795",1,8,54710,3390,1,8,54710,3390,1,8,54710,3390
"202101134876",,,,,,,,,,,,
"201807235343",,,,,,,,,,,,
"202005303953",1,1,27480,6420,1,1,27480,6420,0,,,
"201910880730",2,11,179650,5250,1,3,55700,0,0,,,
"202011370241",2,5,29000,0,0,,,,0,,,
"201904585512",,,,,,,,,,,,
"201910044222",,,,,,,,,,,,
"202002598002",,,,,,,,,,,,
"201911399230",,,,,,,,,,,,
"202002076434",2,4,87990,7610,2,4,87990,7610,0,,,
"201707108207",,,,,,,,,,,,
"201910815435",,,,,,,,,,,,
"201810629175",,,,,,,,,,,,
"201805045651",,,,,,,,,,,,
"202003536246",,,,,,,,,,,,
"202008822871",,,,,,,,,,,,
"201805008099",,,,,,,,,,,,
"201905093338",,,,,,,,,,,,
"201902431881",,,,,,,,,,,,
"202101865107",,,,,,,,,,,,
"202012623864",,,,,,,,,,,,
"201910884017",,,,,,,,,,,,
"201910730211",,,,,,,,,,,,
"202102772182",,,,,,,,,,,,
"201901338820",,,,,,,,,,,,
"201812005017",,,,,,,,,,,,
"201810380319",1,1,8200,0,1,1,8200,0,0,,,
"201905879209",1,1,38900,1000,0,,,,0,,,
"202008615762",1,1,25560,3340,0,,,,0,,,
"201902184871",2,2,52070,3730,1,1,24610,1290,0,,,
"201801619089",,,,,,,,,,,,
"202002873368",,,,,,,,,,,,
"201812910568",1,1,94050,14950,0,,,,0,,,
"202012482711",,,,,,,,,,,,
"201909677678",,,,,,,,,,,,
"201912184964",,,,,,,,,,,,
"201806016319",,,,,,,,,,,,
