"CUST_NO","CNT_ORDER","QTY","ORDER_AMT","DC_AMT","FOOD_ORDER","FOOD_QTY","FOOD_AMT","FOOD_DC_AMT","SB_ORDER","SB_QTY","SB_AMT","SB_DC_AMT"
"201903592486",,,,,,,,,,,,
"202002143003",,,,,,,,,,,,
"201905993934",2,2,76900,2000,1,1,38900,1000,0,,,
"202004666094",,,,,,,,,,,,
"201712429684",,,,,,,,,,,,
"201908615870",,,,,,,,,,,,
"201811932724",,,,,,,,,,,,
"201909629755",,,,,,,,,,,,
"202001589432",3,7,33770,1560,2,2,28270,1310,0,,,
"202101864399",,,,,,,,,,,,
"201812704867",1,3,79300,0,0,,,,0,,,
"202002111191",,,,,,,,,,,,
"201910049526",,,,,,,,,,,,
"202012667706",,,,,,,,,,,,
"201901091635",,,,,,,,,,,,
"201810412586",,,,,,,,,,,,
"202003141421",2,2,140230,19570,0,,,,0,,,
"202003364823",,,,,,,,,,,,
"201906240504",,,,,,,,,,,,
"201903693930",,,,,,,,,,,,
"202002012011",,,,,,,,,,,,
"201711424746",,,,,,,,,,,,
"202007906740",,,,,,,,,,,,
"201910982347",2,2,52070,4730,1,1,26510,1390,0,,,
"201901239808",1,3,34000,0,1,2,23800,0,0,,,
"201606338587",,,,,,,,,,,,
"202001724110",,,,,,,,,,,,
"201809397408",,,,,,,,,,,,
"201812769708",,,,,,,,,,,,
"201810396405",,,,,,,,,,,,
"201911216133",1,3,33390,10210,1,3,33390,10210,1,3,33390,10210
"201808320151",,,,,,,,,,,,
"202001941267",,,,,,,,,,,,
"202012972597",,,,,,,,,,,,
"202008693569",,,,,,,,,,,,
"201807110974",,,,,,,,,,,,
"202012673975",,,,,,,,,,,,
"201805938674",,,,,,,,,,,,
"201606321275",2,6,87090,6310,2,6,87090,6310,0,,,
"202001938186",,,,,,,,,,,,
"201611628527",,,,,,,,,,,,
"202012555047",,,,,,,,,,,,
"202004789186",,,,,,,,,,,,
"201901388197",1,2,82000,0,1,2,82000,0,0,,,
"202003580170",1,1,148000,1000,0,,,,0,,,
"202004362873",2,3,56880,6000,2,3,56880,6000,0,,,
"201710261152",3,6,46450,6260,1,1,34120,5780,0,,,
"201903782135",,,,,,,,,,,,
"201809611451",,,,,,,,,,,,
"201812868989",1,1,50280,9520,0,,,,0,,,
"202101864420",,,,,,,,,,,,
"202010735275",,,,,,,,,,,,
"201910920469",,,,,,,,,,,,
"201711329458",3,3,241110,7790,1,1,4830,570,0,,,
"201910862658",3,9,225190,23210,1,1,7900,0,0,,,
"201905071286",,,,,,,,,,,,
"202006283952",,,,,,,,,,,,
"201804821727",,,,,,,,,,,,
"202012238166",,,,,,,,,,,,
"202102859771",,,,,,,,,,,,
"201812100123",,,,,,,,,,,,
"201806936180",1,1,9810,3090,0,,,,0,,,
"202101980450",,,,,,,,,,,,
"201812897438",,,,,,,,,,,,
"201804813462",2,5,42010,4090,1,3,27920,780,0,,,
"201805015161",,,,,,,,,,,,
"201908668288",,,,,,,,,,,,
"202012365396",,,,,,,,,,,,
"202012583823",,,,,,,,,,,,
"201908381561",3,7,120900,13300,3,3,43680,10320,1,1,30560,9640
"201902374897",1,1,93100,15900,0,,,,0,,,
